Yalynochka,242,53,Plastmasa
Yalynochka,88,441,Plastmasa
Yalynochka,173,253,Plastmasa
Yalynochka,387,421,Plastmasa
Yalynochka,40,26,Plastmasa
Yalynochka,174,125,Plastmasa
Yalynochka,488,410,Plastmasa
Yalynochka,17,283,Plastmasa
Yalynochka,14,322,Plastmasa
Yalynochka,433,458,Plastmasa
Yalynochka,289,210,Plastmasa
Yalynochka,468,217,Plastmasa
Yalynochka,118,68,Plastmasa
Yalynochka,75,63,Plastmasa
Yalynochka,188,125,Plastmasa
Yalynochka,410,326,Plastmasa
Yalynochka,126,163,Plastmasa
Yalynochka,13,199,Plastmasa
Yalynochka,139,67,Plastmasa
Yalynochka,275,486,Plastmasa
